"","Vuosi","Pojat","Tytöt","Yhteensä","naiset3945","miehet3945","naiset1918","miehet1918","Yhteensä3945","Yhteensä1918","KuolematYht","osuus_ikaluokasta","osuus_ikaluokasta3945","osuus_ikaluokasta1918"
"1",1846,26492,25112,51604,NA,NA,NA,10,0,10,10,0.0193783427641268,0,0.0193783427641268
"2",1847,27096,26115,53211,NA,NA,1,8,0,9,9,0.01691379601962,0,0.01691379601962
"3",1848,29500,28521,58021,NA,NA,1,14,0,15,15,0.0258527085020941,0,0.0258527085020941
"4",1849,30591,29729,60320,NA,NA,NA,14,0,14,14,0.023209549071618,0,0.023209549071618
"5",1850,29590,28679,58269,NA,NA,4,25,0,29,29,0.0497691740033294,0,0.0497691740033294
"6",1851,32045,30910,62955,NA,NA,3,29,0,32,32,0.0508299579064411,0,0.0508299579064411
"7",1852,29650,28419,58069,NA,NA,1,36,0,37,37,0.0637173018305809,0,0.0637173018305809
"8",1853,29840,28558,58398,NA,NA,4,36,0,40,40,0.0684954964211103,0,0.0684954964211103
"9",1854,32368,30581,62949,NA,NA,4,50,0,54,54,0.0857837296859362,0,0.0857837296859362
"10",1855,30878,29492,60370,NA,NA,3,37,0,40,40,0.0662580752029154,0,0.0662580752029154
"11",1856,31289,30030,61319,NA,NA,2,55,0,57,57,0.0929565061400218,0,0.0929565061400218
"12",1857,28236,27374,55610,NA,NA,4,63,0,67,67,0.120481927710843,0,0.120481927710843
"13",1858,31807,30263,62070,NA,NA,6,80,0,86,86,0.138553246334783,0,0.138553246334783
"14",1859,31478,29976,61454,NA,NA,2,110,0,112,112,0.182250138314837,0,0.182250138314837
"15",1860,32363,30820,63183,NA,NA,8,98,0,106,106,0.167766646091512,0,0.167766646091512
"16",1861,34064,32470,66534,NA,NA,NA,142,0,142,142,0.213424715183215,0,0.213424715183215
"17",1862,33835,32493,66328,NA,NA,10,151,0,161,161,0.242733084067061,0,0.242733084067061
"18",1863,33364,31619,64983,NA,NA,4,173,0,177,177,0.272378929873967,0,0.272378929873967
"19",1864,36429,34878,71307,NA,NA,6,196,0,202,202,0.283282146212854,0,0.283282146212854
"20",1865,32135,30645,62780,NA,NA,2,209,0,211,211,0.336094297546989,0,0.336094297546989
"21",1866,30108,28745,58853,NA,NA,4,181,0,185,185,0.314342514400285,0,0.314342514400285
"22",1867,30151,29013,59164,NA,NA,8,169,0,177,177,0.299168413224258,0,0.299168413224258
"23",1868,22423,21334,43757,NA,NA,7,169,0,176,176,0.402221358868295,0,0.402221358868295
"24",1869,30016,28379,58395,NA,NA,6,289,0,295,295,0.505180238034078,0,0.505180238034078
"25",1870,32563,31185,63748,NA,NA,12,402,0,414,414,0.6494321390475,0,0.6494321390475
"26",1871,33906,32661,66567,NA,NA,9,385,0,394,394,0.591884867877477,0,0.591884867877477
"27",1872,33920,32269,66189,NA,NA,11,377,0,388,388,0.586200123887655,0,0.586200123887655
"28",1873,35097,33325,68422,1,NA,8,444,1,452,453,0.662067755984917,0.00146151822513227,0.660606237759785
"29",1874,36370,34528,70898,NA,2,11,413,2,424,426,0.600863211938278,0.00282095404665858,0.598042257891619
"30",1875,35700,33821,69521,NA,1,8,457,1,465,466,0.670301060111333,0.00143841429208441,0.668862645819249
"31",1876,35886,34873,70759,NA,NA,11,476,0,487,487,0.688251671165505,0,0.688251671165505
"32",1877,38194,36637,74831,NA,NA,6,547,0,553,553,0.738998543384426,0,0.738998543384426
"33",1878,36395,33880,70275,NA,3,9,540,3,549,552,0.785485592315902,0.00426894343649947,0.781216648879402
"34",1879,38961,37189,76150,NA,2,13,527,2,540,542,0.711753118844386,0.00262639527248851,0.709126723571898
"35",1880,38361,36423,74784,1,1,12,593,2,605,607,0.811670945656825,0.00267436884895165,0.808996576807873
"36",1881,37227,35209,72436,NA,11,5,543,11,548,559,0.771715721464465,0.0151858192059197,0.756529902258545
"37",1882,39053,37000,76053,NA,12,11,637,12,648,660,0.867815865251864,0.0157784702773066,0.852037394974557
"38",1883,38977,37401,76378,NA,14,12,686,14,698,712,0.932205608944984,0.0183298855691429,0.913875723375841
"39",1884,40029,38118,78147,2,11,8,773,13,781,794,1.01603388485802,0.0166353154951566,0.999398569362867
"40",1885,38547,36582,75129,2,13,8,737,15,745,760,1.01159339269789,0.0199656590664058,0.991627733631487
"41",1886,40215,38361,78576,NA,17,14,922,17,936,953,1.2128385257585,0.0216351048666259,1.19120342089188
"42",1887,41691,40033,81724,3,30,13,977,33,990,1023,1.25177426459791,0.0403798149870295,1.21139444961089
"43",1888,40892,39280,80172,1,32,9,1021,33,1030,1063,1.32589931646959,0.0411615027690465,1.28473781370054
"44",1889,40123,37758,77881,2,39,16,1073,41,1089,1130,1.45093154941513,0.0526444190495756,1.39828713036556
"45",1890,40023,37837,77860,2,41,10,1218,43,1228,1271,1.63241715900334,0.0552273311071153,1.57718982789622
"46",1891,42059,40069,82128,2,41,12,1278,43,1290,1333,1.62307617377752,0.052357295928307,1.57071887784921
"47",1892,39251,37182,76433,2,62,27,1408,64,1435,1499,1.96119477189172,0.083733465911321,1.8774613059804
"48",1893,37577,35453,73030,1,54,25,1434,55,1459,1514,2.07312063535533,0.0753115158154183,1.99780911953992
"49",1894,39013,37193,76206,1,103,20,1666,104,1686,1790,2.34889641235598,0.136472193790515,2.21242421856547
"50",1895,41975,39808,81783,3,113,35,1953,116,1988,2104,2.57266180012961,0.141838768448211,2.4308230316814
"51",1896,41788,39868,81656,1,257,47,2025,258,2072,2330,2.85343391789948,0.315959635544234,2.53747428235525
"52",1897,42323,40007,82330,3,548,43,1865,551,1908,2459,2.98676059759504,0.669257864690878,2.31750273290417
"53",1898,45762,43344,89106,4,640,63,1771,644,1834,2478,2.7809575112787,0.722734720445312,2.05822279083339
"54",1899,45326,43032,88358,NA,537,53,1675,537,1728,2265,2.56343511623169,0.607754815636388,1.95568030059531
"55",1900,44435,41904,86339,3,969,64,1238,972,1302,2274,2.63380395881351,1.12579483199944,1.50800912681407
"56",1901,45490,43147,88637,4,1101,46,707,1105,753,1858,2.09619007863533,1.24665771630358,0.849532362331758
"57",1902,44802,42280,87082,2,1467,26,327,1469,353,1822,2.09228083874968,1.6869157805287,0.405365058220987
"58",1903,43763,41357,85120,7,1613,12,76,1620,88,1708,2.00657894736842,1.9031954887218,0.103383458646617
"59",1904,46344,43909,90253,2,2013,5,32,2015,37,2052,2.27360863350803,2.23261276633464,0.0409958671733904
"60",1905,44849,42992,87841,7,2071,5,5,2078,10,2088,2.37702211951139,2.36563791395817,0.0113842055532155
"61",1906,46972,44429,91401,8,2261,1,6,2269,7,2276,2.49012592860034,2.48246736906598,0.00765855953435958
"62",1907,47416,45041,92457,5,2656,2,5,2661,7,2668,2.88566576895205,2.8780946818521,0.00757108709994917
"63",1908,47495,44651,92146,7,2918,3,10,2925,13,2938,3.18841837952814,3.17431033360102,0.0141080459271157
"64",1909,48790,46215,95005,15,3405,4,7,3420,11,3431,3.61138887426978,3.59981053628756,0.0115783379822115
"65",1910,47745,45239,92984,7,3591,4,NA,3598,4,3602,3.87378473715908,3.869482921793,0.00430181536608449
"66",1911,47260,43978,91238,20,3864,2,NA,3884,2,3886,4.25919024967667,4.25699818058265,0.00219206909401784
"67",1912,47523,44752,92275,11,4232,1,3,4243,4,4247,4.60254673530209,4.59821186670279,0.00433486859929558
"68",1913,45065,42185,87250,9,4400,2,2,4409,4,4413,5.05787965616046,5.05329512893983,0.00458452722063037
"69",1914,45028,42549,87577,13,4702,3,1,4715,4,4719,5.38840106420636,5.38383365495507,0.00456740925128744
"70",1915,42838,40468,83306,22,4727,4,3,4749,7,4756,5.70907257580486,5.70066981970086,0.00840275610400211
"71",1916,40937,38716,79653,23,4852,NA,4,4875,4,4879,6.12531856929431,6.12029678731498,0.00502178197933537
"72",1917,41726,39320,81046,20,5316,2,9,5336,11,5347,6.59748784640821,6.58391530735632,0.0135725390518965
"73",1918,40907,38587,79494,16,5182,NA,6,5198,6,5204,6.54640601806426,6.53885827861222,0.00754773945203412
"74",1919,33067,30829,63896,25,3881,NA,NA,3906,0,3906,6.11305872042068,6.11305872042068,0
"75",1920,43644,41070,84714,31,5718,NA,NA,5749,0,5749,6.78636352905069,6.78636352905069,0
"76",1921,42212,39953,82165,22,5231,NA,NA,5253,0,5253,6.39323312846102,6.39323312846102,0
"77",1922,41233,38907,80140,17,4818,NA,NA,4835,0,4835,6.03319191415024,6.03319191415024,0
"78",1923,42322,39639,81961,29,4009,NA,NA,4038,0,4038,4.92673344639524,4.92673344639524,0
"79",1924,40300,37757,78057,16,2636,NA,NA,2652,0,2652,3.39751719896998,3.39751719896998,0
"80",1925,40354,37906,78260,11,1761,NA,NA,1772,0,1772,2.26424738052645,2.26424738052645,0
"81",1926,39481,37394,76875,4,265,NA,NA,269,0,269,0.349918699186992,0.349918699186992,0
"82",1927,38973,36638,75611,2,23,NA,NA,25,0,25,0.033063972173361,0.033063972173361,0
"83",1928,39915,37608,77523,2,9,NA,NA,11,0,11,0.0141893373579454,0.0141893373579454,0
"84",1929,38968,37043,76011,NA,10,NA,NA,10,0,10,0.0131559905803107,0.0131559905803107,0
"85",1930,38588,36648,75236,NA,3,NA,NA,3,0,3,0.00398745281514169,0.00398745281514169,0
"86",1931,37143,34723,71866,NA,1,NA,NA,1,0,1,0.00139147858514457,0.00139147858514457,0
"87",1932,35474,33878,69352,NA,1,NA,NA,1,0,1,0.00144191948321606,0.00144191948321606,0
"88",1933,33419,31628,65047,NA,NA,NA,NA,0,0,0,0,0,0
"89",1934,34576,33137,67713,NA,NA,NA,NA,0,0,0,0,0,0
"90",1935,36178,33764,69942,NA,NA,NA,NA,0,0,0,0,0,0
"91",1936,35350,33545,68895,NA,1,NA,NA,1,0,1,0.00145148414253574,0.00145148414253574,0
"92",1937,37242,35077,72319,NA,NA,NA,NA,0,0,0,0,0,0
"93",1938,39589,37106,76695,1,NA,NA,NA,1,0,1,0.00130386596257905,0.00130386596257905,0
